TERM,DEFINITION,SYNONYMS
Product ID,"Unique identifier assigned to a product in the source platform.","product_id,id,asin,sku,gtin,upc"
Product Name,"Official display name of the product listed for sale.","product_name,name,title"
Title,"Short descriptive title used for product listing.","product_title,item_title"
Description,"Detailed textual explanation of product features and specifications.","product_description,details"
Initial Price,"Original listed price of the product before discounts.","price,base_price,original_price"
Final Price,"Current selling price after applying discounts or promotions.","sale_price,current_price,discounted_price"
Currency,"Monetary unit in which the product price is listed.","currency_code"
Rating,"Average customer rating score given to the product.","rating_stars,average_rating"
Reviews Count,"Total number of customer reviews submitted for the product.","review_count,reviews_count"
Review Count,"Total number of customer reviews available for the product.","reviews,total_reviews"
Top Reviews,"Highlighted customer reviews considered most helpful.","featured_reviews"
Brand,"Brand name under which the product is manufactured or marketed.","manufacturer_brand"
Category,"Product classification grouping similar items.","category_name"
Root Category,"Top-level product classification category.","main_category"
Category URL,"Web link representing the product category page.","category_link"
Category Path,"Hierarchical path representing category structure.","category_tree,breadcrumb"
Domain,"E-commerce platform domain where the product is listed.","platform_domain"
URL,"Direct web link to the product listing page.","product_url"
Image URL,"Primary image link representing the product.","main_image,image"
Image URLs,"List of image links associated with the product.","image_links,images"
Image Count,"Total number of images available for the product.","images_count"
Video,"Video content associated with the product.","product_video"
Seller Name,"Name of the merchant or vendor selling the product.","merchant_name,shop_name"
Seller ID,"Unique identifier assigned to the seller.","merchant_id"
Seller Rating,"Average rating score assigned to the seller.","seller_score"
Stock,"Quantity availability status of the product.","inventory,quantity"
In Stock,"Indicator showing whether the product is currently available.","availability_flag"
Availability,"Current availability status of the product.","is_available"
SKU,"Stock Keeping Unit identifier used for inventory tracking.","stock_code"
Model Number,"Manufacturer assigned model identifier.","model_id"
MPN,"Manufacturer Part Number for the product.","manufacturer_part_number"
UPC,"Universal Product Code used for global product identification.","barcode"
ASIN,"Amazon Standard Identification Number for Amazon products.","amazon_id"
GTIN,"Global Trade Item Number used internationally for product tracking.","global_trade_number"
Color,"Color attribute of the product.","colour"
Colors,"List of available color options for the product.","available_colors"
Size,"Size attribute associated with the product.","dimension_size"
Sizes,"Available size variations of the product.","available_sizes"
Variations,"Different configurable versions of the product such as size or color.","options"
Discount,"Price reduction percentage or value applied to the product.","price_reduction"
Number Sold,"Total units sold for the product.","units_sold"
GMV,"Gross Merchandise Value generated by the product sales.","gross_sales"
Unit Price,"Price per standard measurement unit.","price_per_unit"
Unit,"Measurement unit associated with pricing.","measurement_unit"
Timestamp,"Date and time when the product data was captured.","created_at,updated_at"
Seller Followers,"Number of users following the seller.","followers_count"
Seller Products,"Total number of products listed by the seller.","product_count"
Country Code,"Country identifier associated with the listing.","country"
Manufacturer,"Organization responsible for producing the product.","producer"
Department,"High-level product grouping within a store.","division"
Product Dimensions,"Physical dimensions of the product.","dimensions"
Item Weight,"Weight specification of the product.","weight"
Ingredients,"List of materials or ingredients contained in the product.","components"
Features,"Key product features highlighted in the listing.","highlights"
Specifications,"Detailed technical specifications of the product.","specs"
Breadcrumb,"Navigation hierarchy showing category location.","navigation_path"
Tags,"Keywords associated with the product.","keywords"
Delivery,"Shipping and delivery information related to the product.","shipping_info"
Returns and Warranty,"Policy details regarding product return and warranty.","return_policy,warranty"
Is Available,"Boolean indicator of product availability status.","available_flag"